slug,library_formula,formula_rendered_before_fix
limit-of-sinx--1-over-x2-over-x--sinx-as-x-to--inf,"(sin(x) - 1/(x^2)) / (x - sin(x))","(sin(x^1)/x^2)/xsinxasx"
limit-of-51-over-x22--sqrtx2-as-x-to--inf,"5*1/(x^2)^2 - sqrt(x)^2","51/(x^22sqrtx^2asx)"
limit-of-4x3--2cosx-over-sqrtx--1-over-x2-as-x-to-inf,"(4*x^3 - 2*cos(x)) / (sqrt(x) - 1/(x^2))","(4x^32cosx/sqrt(x^1))/(x^2asx)"
limit-of-lnx2--4cosx2-as-x-to--inf,"ln(x)^2 - 4*cos(x)^2","ln(x^24cosx^2asx)"
limit-of-2x2--5absx2-as-x-to-0,"2*x^2 - 5*abs(x)^2","2x^25absx^2asx"
limit-of-1-over-x2--3x32-as-x-to-1,"1/x^2 - 3*x^3^2","1/(x^23x^32asx)"
limit-of-x2-5x-over-ex-as-x-to-pi,"(x^2 * 5*x) / e^x","(x^25x)/exasx"
limit-of-cosx2--x2-as-x-to-pi,"cos(x)^2 - x^2","cos(x^2x^2asx)"
limit-of-2x2--1-over-x2-over-cosx--x-as-x-to--2,"(2*x^2 - 1/(x^2)) / (cos(x) - x)","(2x^21/x^2)/cos(xxasx)"
limit-of-21-over-x2--21-over-x2-as-x-to--1,"2*1/x^2 - 2*1/x^2","(21/x^221)/(x^2asx)"
limit-of-31-over-x-over-lnx-as-x-to-pi-2,"3*1/x / ln(x)","(31/x)/ln(xasx)"
limit-of-3ex2--cosx2-as-x-to-2,"3*e^x^2 - cos(x)^2","3ex^2cosx^2asx"
limit-of-5x2-lnx-over-cosx-as-x-to-pi,"(5*x^2 * ln(x)) / cos(x)","(5x^2lnx)/cos(xasx)"
limit-of-x3-over-4lnx-as-x-to-0,"x^3 / 4*ln(x)","(x^3)/(4lnxasx)"
limit-of-sqrtx--sqrt5tanx-as-x-to-2,"sqrt(x) - sqrt(5*tan(x))","sqrt(xsqrt^5tanxasx)"
limit-of-sqrt4x2--sqrt2x-as-x-to--inf,"sqrt(4*x^2) - sqrt(2*x)","sqrt(4x^2sqrt^2xasx)"
limit-of-41-over-x22--x32-as-x-to-inf,"4*1/(x^2)^2 - x^3^2","41/(x^22x^32asx)"
limit-of-x32--4sinx2-as-x-to-2,"x^3^2 - 4*sin(x)^2","x^324sinx^2asx"
limit-of-sqrtabsx--sqrt3absx-as-x-to--2,"sqrt(abs(x)) - sqrt(3*abs(x))","sqrt(absxsqrt^3absxasx)"
limit-of-5x-over-1-over-x-as-x-to-0,"5*x / 1/x","(5x/1)/xasx"
limit-of-4sinx-over-4tanx-as-x-to-pi-2,"4*sin(x) / 4*tan(x)","(4sinx)/(4tanxasx)"
limit-of-4cosx--ex-over-x2--x-as-x-to-1,"(4*cos(x) - e^x) / (x^2 - x)","(4cosxex)/(x^2xasx)"
limit-of-sinx-5x2-over-sqrtx-as-x-to-pi,"(sin(x) * 5*x^2) / sqrt(x)","(sin(x^5x^2))/sqrt(xasx)"
limit-of-sqrtx-over-5absx-as-x-to-inf,"sqrt(x) / 5*abs(x)","sqrt(x)/(5absxasx)"
limit-of-1-over-x2-over-5sinx-as-x-to-1,"1/(x^2) / 5*sin(x)","(1/x^2)/(5sinxasx)"
limit-of-1-over-2tanx--1-over-2x-as-x-to--2,"(1/2*tan(x)) - (1/2*x)","(1/2tanx^1)/(2xasx)"
limit-of-tanx-over-tanx-as-x-to-2,"tan(x) / tan(x)","tan(x)/tan(xasx)"
limit-of-tanx--1-over-x-over-x3--lnx-as-x-to--inf,"(tan(x) - 1/x) / (x^3 - ln(x))","(tan(x^1)/x)/(x^3lnxasx)"
limit-of-5sinx--x2-over-ex--absx-as-x-to-pi,"(5*sin(x) - x^2) / (e^x - abs(x))","(5sinxx^2)/exabsxasx"
limit-of-cosx--tanx-over-absx--ex-as-x-to--2,"(cos(x) - tan(x)) / (abs(x) - e^x)","cos(xtanx)/absxexasx"
limit-of-4cosx-over-x-as-x-to--inf,"4*cos(x) / x","(4cosx)/xasx"
limit-of-x22--sinx2-as-x-to--inf,"x^2^2 - sin(x)^2","x^22sinx^2asx"
limit-of-sinx--sinx-over-1-over-x2--1-over-x2-as-x-to-0,"(sin(x) - sin(x)) / (1/(x^2) - 1/(x^2))","(sin(xsinx)/1/x^21)/(x^2asx)"
limit-of-5lnx-over-cosx-as-x-to-0,"5*ln(x) / cos(x)","(5lnx)/cos(xasx)"
limit-of-1-over-lnx--1-over-sinx-as-x-to-inf,"(1/ln(x)) - (1/sin(x))","(1/ln(x^1))/sin(xasx)"
limit-of-tanx-over-sinx-as-x-to--2,"tan(x) / sin(x)","tan(x)/sin(xasx)"
limit-of-1-over-x2-tanx-over-x2-as-x-to-2,"(1/(x^2) * tan(x)) / x^2","(1/x^2tanx)/(x^2asx)"
limit-of-cosx2--cosx2-as-x-to-1,"cos(x)^2 - cos(x)^2","cos(x^2cosx^2asx)"
limit-of-x3-sqrtx-over-x3-as-x-to-pi,"(x^3 * sqrt(x)) / x^3","(x^3sqrtx)/(x^3asx)"
limit-of-1-over-x--4absx-over-sqrtx--cosx-as-x-to-pi,"(1/x - 4*abs(x)) / (sqrt(x) - cos(x))","(1/x^4absx)/sqrt(xcosxasx)"
limit-of-3sinx2--3absx2-as-x-to--2,"3*sin(x)^2 - 3*abs(x)^2","3sinx^23absx^2asx"
limit-of-cosx2--2sqrtx2-as-x-to--2,"cos(x)^2 - 2*sqrt(x)^2","cos(x^22sqrtx^2asx)"
limit-of-1-over-4x--1-over-4x3-as-x-to-0,"(1/4*x) - (1/4*x^3)","(1/4x^1)/(4x^3asx)"
limit-of-sqrtx-over-2ex-as-x-to-pi-2,"sqrt(x) / 2*e^x","sqrt(x)/(2exasx)"
limit-of-sqrtabsx--sqrttanx-as-x-to-1,"sqrt(abs(x)) - sqrt(tan(x))","sqrt(absxsqrttanxasx)"
limit-of-2lnx-3lnx-over-x2-as-x-to-pi,"(2*ln(x) * 3*ln(x)) / x^2","(2lnx^3lnx)/(x^2asx)"
limit-of-sqrtcosx--sqrt41-over-x-as-x-to-pi-2,"sqrt(cos(x)) - sqrt(4*1/x)","(sqrt(cosxsqrt^41))/xasx"
limit-of-cosx2--4x22-as-x-to-pi,"cos(x)^2 - 4*x^2^2","cos(x^24x^22asx)"
limit-of-2x--3ex-over-absx--x3-as-x-to-1,"(2*x - 3*e^x) / (abs(x) - x^3)","(2x^3ex)/(absxx^3asx)"
limit-of-x3-over-21-over-x2-as-x-to--1,"x^3 / 2*1/(x^2)","(x^3/21)/(x^2asx)"
limit-of-sqrtx-over-2sinx-as-x-to-1,"sqrt(x) / 2*sin(x)","sqrt(x)/(2sinxasx)"
limit-of-sqrt2absx--sqrt4ex-as-x-to-inf,"sqrt(2*abs(x)) - sqrt(4*e^x)","sqrt(2absxsqrt^4exasx)"
limit-of-5cosx2--cosx2-as-x-to--inf,"5*cos(x)^2 - cos(x)^2","5cosx^2cosx^2asx"
limit-of-1-over-x2--cosx-over-ex--tanx-as-x-to-pi,"(1/(x^2) - cos(x)) / (e^x - tan(x))","(1/x^2cosx)/extanxasx"
limit-of-4x--1-over-x2-over-x3--ex-as-x-to--inf,"(4*x - 1/(x^2)) / (x^3 - e^x)","(4x^1/x^2)/(x^3exasx)"
limit-of-ex--3x2-over-x2--tanx-as-x-to-pi-2,"(e^x - 3*x^2) / (x^2 - tan(x))","(ex^3x^2)/(x^2tanxasx)"
limit-of-1-over-sqrtx--1-over-sinx-as-x-to--2,"(1/sqrt(x)) - (1/sin(x))","(1/sqrt(x^1))/sin(xasx)"
limit-of-sqrtx2--sqrtabsx-as-x-to-2,"sqrt(x^2) - sqrt(abs(x))","sqrt(x^2sqrtabsxasx)"
limit-of-ex-over-tanx-as-x-to-pi,"e^x / tan(x)","ex/tan(xasx)"
limit-of-1-over-sinx--1-over-ex-as-x-to-pi-2,"(1/sin(x)) - (1/e^x)","(1/sin(x^1))/exasx"
limit-of-x3-3sqrtx-over-sqrtx-as-x-to--1,"(x^3 * 3*sqrt(x)) / sqrt(x)","(x^33sqrtx)/sqrt(xasx)"
limit-of-sqrt3sqrtx--sqrtx2-as-x-to-pi,"sqrt(3*sqrt(x)) - sqrt(x^2)","sqrt(3sqrtxsqrtx^2asx)"
limit-of-sinx-4sqrtx-over-absx-as-x-to--2,"(sin(x) * 4*sqrt(x)) / abs(x)","(sin(x^4sqrtx))/absxasx"
limit-of-ex-2x3-over-tanx-as-x-to--1,"(e^x * 2*x^3) / tan(x)","(ex^2x^3)/tan(xasx)"
limit-of-3sinx2--sqrtx2-as-x-to--2,"3*sin(x)^2 - sqrt(x)^2","3sinx^2sqrtx^2asx"
limit-of-21-over-x2--absx2-as-x-to-1,"2*1/x^2 - abs(x)^2","21/(x^2absx^2asx)"
limit-of-5ex2--x32-as-x-to--inf,"5*e^x^2 - x^3^2","5ex^2x^32asx"
limit-of-sqrt5x--sqrtabsx-as-x-to--1,"sqrt(5*x) - sqrt(abs(x))","sqrt(5xsqrtabsxasx)"
limit-of-1-over-1-over-x--1-over-x2-as-x-to-pi,"(1/1/x) - (1/x^2)","(1/1/x^1)/(x^2asx)"
limit-of-sqrtx2--4absx2-as-x-to-0,"sqrt(x)^2 - 4*abs(x)^2","sqrt(x^24absx^2asx)"
limit-of-cosx-21-over-x-over-sinx-as-x-to-2,"(cos(x) * 2*1/x) / sin(x)","(cos(x^21)/x)/sin(xasx)"
limit-of-sqrtx-over-x3-as-x-to--inf,"sqrt(x) / x^3","sqrt(x)/(x^3asx)"
limit-of-21-over-x-over-2x3-as-x-to-1,"2*1/x / 2*x^3","(21/x)/(2x^3asx)"
limit-of-41-over-x2--ex2-as-x-to--1,"4*1/x^2 - e^x^2","41/(x^2ex^2asx)"
limit-of-sinx-cosx-over-cosx-as-x-to--inf,"(sin(x) * cos(x)) / cos(x)","sin(xcosx)/cos(xasx)"
limit-of-3ex-2sinx-over-lnx-as-x-to--2,"(3*e^x * 2*sin(x)) / ln(x)","(3ex^2sinx)/ln(xasx)"
limit-of-sqrt1-over-x2--sqrt5cosx-as-x-to-0,"sqrt(1/(x^2)) - sqrt(5*cos(x))","(sqrt(1))/(x^2sqrt^5cosxasx)"
limit-of-cosx2--3absx2-as-x-to--1,"cos(x)^2 - 3*abs(x)^2","cos(x^23absx^2asx)"
limit-of-4ex-over-sqrtx-as-x-to-pi-2,"4*e^x / sqrt(x)","(4ex)/sqrt(xasx)"
limit-of-sinx--5x3-over-lnx--tanx-as-x-to-1,"(sin(x) - 5*x^3) / (ln(x) - tan(x))","(sin(x^5x^3))/ln(xtanxasx)"
limit-of-5absx-sqrtx-over-x-as-x-to--2,"(5*abs(x) * sqrt(x)) / x","(5absxsqrtx)/xasx"
limit-of-3x32--2sinx2-as-x-to-pi,"3*x^3^2 - 2*sin(x)^2","3x^322sinx^2asx"
limit-of-3absx-4sinx-over-sinx-as-x-to--1,"(3*abs(x) * 4*sin(x)) / sin(x)","(3absx^4sinx)/sin(xasx)"
limit-of-2x2-over-absx-as-x-to--1,"2*x^2 / abs(x)","(2x^2)/absxasx"
limit-of-ex-over-1-over-x-as-x-to-inf,"e^x / 1/x","(ex/1)/xasx"
limit-of-3sinx-over-x2-as-x-to-inf,"3*sin(x) / x^2","(3sinx)/(x^2asx)"
limit-of-1-over-x-over-4cosx-as-x-to--inf,"1/x / 4*cos(x)","(1/x)/(4cosxasx)"
limit-of-4absx-x3-over-ex-as-x-to--1,"(4*abs(x) * x^3) / e^x","(4absxx^3)/exasx"
limit-of-3tanx-over-absx-as-x-to-inf,"3*tan(x) / abs(x)","(3tanx)/absxasx"
limit-of-4x-5x3-over-sqrtx-as-x-to--1,"(4*x * 5*x^3) / sqrt(x)","(4x^5x^3)/sqrt(xasx)"
limit-of-sqrtx--5tanx-over-sqrtx--cosx-as-x-to--2,"(sqrt(x) - 5*tan(x)) / (sqrt(x) - cos(x))","(sqrt(x^5tanx))/sqrt(xcosxasx)"
limit-of-1-over-5sqrtx--1-over-5lnx-as-x-to--inf,"(1/5*sqrt(x)) - (1/5*ln(x))","(1/5sqrtx^1)/(5lnxasx)"
limit-of-sqrt2x3--sqrt3tanx-as-x-to-1,"sqrt(2*x^3) - sqrt(3*tan(x))","sqrt(2x^3sqrt^3tanxasx)"
limit-of-1-over-x2--lnx2-as-x-to--2,"1/x^2 - ln(x)^2","1/(x^2lnx^2asx)"
limit-of-1-over-absx--1-over-2lnx-as-x-to-pi-2,"(1/abs(x)) - (1/2*ln(x))","(1/absx^1)/(2lnxasx)"
limit-of-absx-over-1-over-x-as-x-to-pi-2,"abs(x) / 1/x","(absx/1)/xasx"
limit-of-absx--absx-over-ex--absx-as-x-to-pi-2,"(abs(x) - abs(x)) / (e^x - abs(x))","absxabsx/exabsxasx"
limit-of-5absx--4absx-over-1-over-x2--tanx-as-x-to-pi,"(5*abs(x) - 4*abs(x)) / (1/(x^2) - tan(x))","(5absx^4absx/1)/(x^2tanxasx)"
limit-of-sqrt2x3--sqrt5absx-as-x-to-0,"sqrt(2*x^3) - sqrt(5*abs(x))","sqrt(2x^3sqrt^5absxasx)"
limit-of-lnx-4lnx-over-1-over-x-as-x-to--2,"(ln(x) * 4*ln(x)) / 1/x","(ln(x^4lnx)/1)/xasx"
limit-of-1-over-2x--1-over-4x3-as-x-to-2,"(1/2*x) - (1/4*x^3)","(1/2x^1)/(4x^3asx)"
limit-of-sqrtsinx--sqrt2x2-as-x-to--2,"sqrt(sin(x)) - sqrt(2*x^2)","sqrt(sinxsqrt^2x^2asx)"
limit-of-1-over-3x--1-over-x2-as-x-to-1,"(1/3*x) - (1/x^2)","(1/3x^1)/(x^2asx)"
limit-of-tanx-over-x3-as-x-to--2,"tan(x) / x^3","tan(x)/(x^3asx)"
limit-of-1-over-x-over-lnx-as-x-to-pi-2,"1/x / ln(x)","(1/x)/ln(xasx)"
limit-of-4x-tanx-over-tanx-as-x-to-inf,"(4*x * tan(x)) / tan(x)","(4xtanx)/tan(xasx)"
limit-of-5absx-sinx-over-sqrtx-as-x-to-0,"(5*abs(x) * sin(x)) / sqrt(x)","(5absxsinx)/sqrt(xasx)"
limit-of-sqrtx2--41-over-x2-as-x-to--inf,"sqrt(x)^2 - 4*1/x^2","(sqrt(x^241))/(x^2asx)"
limit-of-1-over-1-over-x--1-over-1-over-x2-as-x-to-pi,"(1/1/x) - (1/1/(x^2))","(1/1/x^1/1)/(x^2asx)"
limit-of-4x--tanx-over-tanx--absx-as-x-to--2,"(4*x - tan(x)) / (tan(x) - abs(x))","(4xtanx)/tan(xabsxasx)"
limit-of-2sinx--41-over-x2-over-cosx--sinx-as-x-to-1,"(2*sin(x) - 4*1/(x^2)) / (cos(x) - sin(x))","(2sinx^41/x^2)/cos(xsinxasx)"
limit-of-sqrt3x2--sqrtx3-as-x-to-inf,"sqrt(3*x^2) - sqrt(x^3)","sqrt(3x^2sqrtx^3asx)"
limit-of-2x3-over-4absx-as-x-to-pi,"2*x^3 / 4*abs(x)","(2x^3)/(4absxasx)"
limit-of-5cosx-3ex-over-1-over-x2-as-x-to--inf,"(5*cos(x) * 3*e^x) / 1/(x^2)","(5cosx^3ex/1)/(x^2asx)"
limit-of-absx-1-over-x2-over-1-over-x-as-x-to-0,"(abs(x) * 1/(x^2)) / 1/x","(absx^1/x^2/1)/xasx"
limit-of-sqrtx--sqrtx-as-x-to--inf,"sqrt(x) - sqrt(x)","sqrt(xsqrtxasx)"
limit-of-1-over-absx--1-over-2sinx-as-x-to-0,"(1/abs(x)) - (1/2*sin(x))","(1/absx^1)/(2sinxasx)"
limit-of-ex--tanx-over-1-over-x2--sqrtx-as-x-to-1,"(e^x - tan(x)) / (1/(x^2) - sqrt(x))","(extanx/1)/(x^2sqrtxasx)"
limit-of-3x2-lnx-over-x3-as-x-to-pi-2,"(3*x^2 * ln(x)) / x^3","(3x^2lnx)/(x^3asx)"
limit-of-1-over-3x3--1-over-41-over-x2-as-x-to-1,"(1/3*x^3) - (1/4*1/(x^2))","(1/3x^31/41)/(x^2asx)"
limit-of-sqrt2sinx--sqrt1-over-x2-as-x-to--2,"sqrt(2*sin(x)) - sqrt(1/(x^2))","(sqrt(2sinxsqrt^1))/(x^2asx)"
limit-of-1-over-5tanx--1-over-2cosx-as-x-to-inf,"(1/5*tan(x)) - (1/2*cos(x))","(1/5tanx^1)/(2cosxasx)"
limit-of-x3--lnx-over-sqrtx--lnx-as-x-to--inf,"(x^3 - ln(x)) / (sqrt(x) - ln(x))","(x^3lnx)/sqrt(xlnxasx)"
limit-of-1-over-sqrtx--1-over-sinx-as-x-to-inf,"(1/sqrt(x)) - (1/sin(x))","(1/sqrt(x^1))/sin(xasx)"
limit-of-x2--3cosx-over-x--1-over-x-as-x-to-0,"(x^2 - 3*cos(x)) / (x - 1/x)","(x^23cosx/x^1)/xasx"
limit-of-sqrt5sinx--sqrtx-as-x-to-1,"sqrt(5*sin(x)) - sqrt(x)","sqrt(5sinxsqrtxasx)"
limit-of-1-over-sinx--1-over-2x-as-x-to-0,"(1/sin(x)) - (1/2*x)","(1/sin(x^1))/(2xasx)"
limit-of-ex2--tanx2-as-x-to-pi-2,"e^x^2 - tan(x)^2","ex^2tanx^2asx"
limit-of-sqrt4absx--sqrt5x-as-x-to-0,"sqrt(4*abs(x)) - sqrt(5*x)","sqrt(4absxsqrt^5xasx)"
limit-of-x-over-sinx-as-x-to--inf,"x / sin(x)","x/sin(xasx)"
limit-of-5x-over-21-over-x-as-x-to-pi-2,"5*x / 2*1/x","(5x/21)/xasx"
limit-of-sinx--41-over-x2-over-absx--absx-as-x-to-1,"(sin(x) - 4*1/(x^2)) / (abs(x) - abs(x))","(sin(x^41)/x^2)/absxabsxasx"
limit-of-3x3-absx-over-1-over-x2-as-x-to-1,"(3*x^3 * abs(x)) / 1/(x^2)","(3x^3absx/1)/(x^2asx)"
limit-of-x-over-x3-as-x-to-inf,"x / x^3","x/(x^3asx)"
limit-of-1-over-x--sqrtx-over-ex--x-as-x-to-pi,"(1/x - sqrt(x)) / (e^x - x)","(1/xsqrtx)/exxasx"
limit-of-sqrt3ex--sqrt4sinx-as-x-to--1,"sqrt(3*e^x) - sqrt(4*sin(x))","sqrt(3exsqrt^4sinxasx)"
limit-of-3ex-1-over-x-over-sqrtx-as-x-to-1,"(3*e^x * 1/x) / sqrt(x)","(3ex^1/x)/sqrt(xasx)"
limit-of-2x-31-over-x2-over-tanx-as-x-to--1,"(2*x * 3*1/(x^2)) / tan(x)","(2x^31/x^2)/tan(xasx)"
limit-of-2cosx-over-51-over-x-as-x-to--2,"2*cos(x) / 5*1/x","(2cosx/51)/xasx"
limit-of-1-over-sinx--1-over-41-over-x-as-x-to--inf,"(1/sin(x)) - (1/4*1/x)","(1/sin(x^1)/41)/xasx"
limit-of-5absx2--4x32-as-x-to-1,"5*abs(x)^2 - 4*x^3^2","5absx^24x^32asx"
limit-of-x3--cosx-over-x2--absx-as-x-to--inf,"(x^3 - cos(x)) / (x^2 - abs(x))","(x^3cosx)/(x^2absxasx)"
limit-of-1-over-2x2--1-over-absx-as-x-to--inf,"(1/2*x^2) - (1/abs(x))","(1/2x^21)/absxasx"
limit-of-1-over-lnx--1-over-2x2-as-x-to-pi,"(1/ln(x)) - (1/2*x^2)","(1/ln(x^1))/(2x^2asx)"
limit-of-51-over-x2--x32-as-x-to--2,"5*1/x^2 - x^3^2","51/(x^2x^32asx)"
limit-of-sinx-3absx-over-x-as-x-to-pi,"(sin(x) * 3*abs(x)) / x","(sin(x^3absx))/xasx"
limit-of-lnx-over-cosx-as-x-to--inf,"ln(x) / cos(x)","ln(x)/cos(xasx)"
limit-of-1-over-cosx--1-over-3ex-as-x-to-pi-2,"(1/cos(x)) - (1/3*e^x)","(1/cos(x^1))/(3exasx)"
limit-of-3ex-x3-over-x3-as-x-to-pi-2,"(3*e^x * x^3) / x^3","(3exx^3)/(x^3asx)"
limit-of-sqrtex--sqrtcosx-as-x-to-pi-2,"sqrt(e^x) - sqrt(cos(x))","sqrt(exsqrtcosxasx)"
limit-of-x22--5absx2-as-x-to-1,"x^2^2 - 5*abs(x)^2","x^225absx^2asx"
limit-of-x2--ex2-as-x-to-pi,"x^2 - e^x^2","x^2ex^2asx"
limit-of-2lnx-over-1-over-x2-as-x-to-pi,"2*ln(x) / 1/(x^2)","(2lnx/1)/(x^2asx)"
limit-of-3x3-over-absx-as-x-to-0,"3*x^3 / abs(x)","(3x^3)/absxasx"
limit-of-1-over-x2-x2-over-cosx-as-x-to--1,"(1/(x^2) * x^2) / cos(x)","(1/x^2x^2)/cos(xasx)"
limit-of-5x2--4lnx-over-tanx--x3-as-x-to--inf,"(5*x^2 - 4*ln(x)) / (tan(x) - x^3)","(5x^24lnx)/(tan(xx^3asx))"
limit-of-lnx2--2sqrtx2-as-x-to-pi,"ln(x)^2 - 2*sqrt(x)^2","ln(x^22sqrtx^2asx)"
limit-of-1-over-x3--1-over-3ex-as-x-to-2,"(1/x^3) - (1/3*e^x)","(1/x^31)/(3exasx)"
limit-of-sqrtabsx--sqrtabsx-as-x-to--2,"sqrt(abs(x)) - sqrt(abs(x))","sqrt(absxsqrtabsxasx)"
limit-of-absx-over-cosx-as-x-to-inf,"abs(x) / cos(x)","absx/cos(xasx)"
limit-of-5ex2--sqrtx2-as-x-to-1,"5*e^x^2 - sqrt(x)^2","5ex^2sqrtx^2asx"
limit-of-3x3-sinx-over-x3-as-x-to-pi,"(3*x^3 * sin(x)) / x^3","(3x^3sinx)/(x^3asx)"
limit-of-lnx2--lnx2-as-x-to-1,"ln(x)^2 - ln(x)^2","ln(x^2lnx^2asx)"
limit-of-3x-over-absx-as-x-to-pi,"3*x / abs(x)","(3x)/absxasx"
limit-of-4sqrtx2--sqrtx2-as-x-to--2,"4*sqrt(x)^2 - sqrt(x)^2","4sqrtx^2sqrtx^2asx"
limit-of-ex-cosx-over-tanx-as-x-to--1,"(e^x * cos(x)) / tan(x)","excosx/tan(xasx)"
limit-of-sqrt4lnx--sqrttanx-as-x-to-0,"sqrt(4*ln(x)) - sqrt(tan(x))","sqrt(4lnxsqrttanxasx)"
limit-of-31-over-x2--2tanx2-as-x-to-inf,"3*1/x^2 - 2*tan(x)^2","31/(x^22tanx^2asx)"
limit-of-cosx2--ex2-as-x-to--inf,"cos(x)^2 - e^x^2","cos(x^2ex^2asx)"
limit-of-5sinx-absx-over-tanx-as-x-to-1,"(5*sin(x) * abs(x)) / tan(x)","(5sinxabsx)/tan(xasx)"
limit-of-4absx-over-absx-as-x-to-inf,"4*abs(x) / abs(x)","(4absx)/absxasx"
limit-of-absx--2cosx-over-x--ex-as-x-to-pi-2,"(abs(x) - 2*cos(x)) / (x - e^x)","(absx^2cosx)/xexasx"
limit-of-cosx-over-4cosx-as-x-to--1,"cos(x) / 4*cos(x)","cos(x)/(4cosxasx)"
limit-of-sqrt51-over-x2--sqrtlnx-as-x-to--1,"sqrt(5*1/(x^2)) - sqrt(ln(x))","(sqrt(51))/(x^2sqrtlnxasx)"
limit-of-sqrt3x--sqrt5sinx-as-x-to--inf,"sqrt(3*x) - sqrt(5*sin(x))","sqrt(3xsqrt^5sinxasx)"
limit-of-sqrt31-over-x2--sqrtex-as-x-to-inf,"sqrt(3*1/(x^2)) - sqrt(e^x)","(sqrt(31))/(x^2sqrtexasx)"
limit-of-2tanx2--5x22-as-x-to-pi-2,"2*tan(x)^2 - 5*x^2^2","2tanx^25x^22asx"
limit-of-cosx-over-21-over-x-as-x-to-0,"cos(x) / 2*1/x","(cos(x)/21)/xasx"
limit-of-1-over-x-5sinx-over-ex-as-x-to-pi,"(1/x * 5*sin(x)) / e^x","(1/x^5sinx)/exasx"
limit-of-1-over-x2--1-over-1-over-x2-as-x-to-pi-2,"(1/x^2) - (1/1/(x^2))","(1/x^21/1)/(x^2asx)"
limit-of-2tanx--5absx-over-sinx--absx-as-x-to-0,"(2*tan(x) - 5*abs(x)) / (sin(x) - abs(x))","(2tanx^5absx)/sin(xabsxasx)"
limit-of-sqrt41-over-x--sqrt1-over-x-as-x-to--2,"sqrt(4*1/x) - sqrt(1/x)","(sqrt(41)/xsqrt^1)/xasx"
limit-of-4sinx-over-x3-as-x-to--inf,"4*sin(x) / x^3","(4sinx)/(x^3asx)"
limit-of-5lnx2--sinx2-as-x-to-inf,"5*ln(x)^2 - sin(x)^2","5lnx^2sinx^2asx"
limit-of-x22--3ex2-as-x-to--1,"x^2^2 - 3*e^x^2","x^223ex^2asx"
limit-of-1-over-5sinx--1-over-5x3-as-x-to-pi,"(1/5*sin(x)) - (1/5*x^3)","(1/5sinx^1)/(5x^3asx)"
limit-of-sqrt51-over-x2--sqrtex-as-x-to--inf,"sqrt(5*1/(x^2)) - sqrt(e^x)","(sqrt(51))/(x^2sqrtexasx)"
limit-of-sqrt3x3--sqrtsqrtx-as-x-to-pi-2,"sqrt(3*x^3) - sqrt(sqrt(x))","sqrt(3x^3sqrtsqrtxasx)"
limit-of-sqrtcosx--sqrt4ex-as-x-to--1,"sqrt(cos(x)) - sqrt(4*e^x)","sqrt(cosxsqrt^4exasx)"
limit-of-1-over-3x2--1-over-sqrtx-as-x-to-pi-2,"(1/3*x^2) - (1/sqrt(x))","(1/3x^21)/sqrt(xasx)"
limit-of-2cosx2--tanx2-as-x-to-0,"2*cos(x)^2 - tan(x)^2","2cosx^2tanx^2asx"
limit-of-1-over-x2--1-over-tanx-as-x-to-0,"(1/x^2) - (1/tan(x))","(1/x^21)/tan(xasx)"
limit-of-sqrtx-over-4x3-as-x-to--2,"sqrt(x) / 4*x^3","sqrt(x)/(4x^3asx)"
limit-of-2absx2--31-over-x22-as-x-to-0,"2*abs(x)^2 - 3*1/(x^2)^2","(2absx^231)/(x^22asx)"
limit-of-3sinx-over-2tanx-as-x-to--1,"3*sin(x) / 2*tan(x)","(3sinx)/(2tanxasx)"
limit-of-2absx-over-cosx-as-x-to-2,"2*abs(x) / cos(x)","(2absx)/cos(xasx)"
limit-of-4sinx2--x32-as-x-to-pi-2,"4*sin(x)^2 - x^3^2","4sinx^2x^32asx"
limit-of-2sqrtx-4x2-over-x3-as-x-to-pi-2,"(2*sqrt(x) * 4*x^2) / x^3","(2sqrtx^4x^2)/(x^3asx)"
limit-of-sqrtcosx--sqrt3ex-as-x-to-0,"sqrt(cos(x)) - sqrt(3*e^x)","sqrt(cosxsqrt^3exasx)"
limit-of-1-over-4absx--1-over-4sqrtx-as-x-to--2,"(1/4*abs(x)) - (1/4*sqrt(x))","(1/4absx^1)/(4sqrtxasx)"
limit-of-sinx--tanx-over-absx--1-over-x2-as-x-to-pi-2,"(sin(x) - tan(x)) / (abs(x) - 1/(x^2))","(sin(xtanx)/absx^1)/(x^2asx)"
limit-of-2absx-cosx-over-1-over-x2-as-x-to-pi-2,"(2*abs(x) * cos(x)) / 1/(x^2)","(2absxcosx/1)/(x^2asx)"
limit-of-2lnx-over-cosx-as-x-to--inf,"2*ln(x) / cos(x)","(2lnx)/cos(xasx)"
limit-of-sqrt1-over-x2--sqrtsinx-as-x-to-pi,"sqrt(1/(x^2)) - sqrt(sin(x))","(sqrt(1))/(x^2sqrtsinxasx)"
limit-of-1-over-2x2--1-over-5sqrtx-as-x-to--2,"(1/2*x^2) - (1/5*sqrt(x))","(1/2x^21)/(5sqrtxasx)"
limit-of-tanx-over-2cosx-as-x-to--inf,"tan(x) / 2*cos(x)","tan(x)/(2cosxasx)"
limit-of-x2--4x-over-sinx--x3-as-x-to-pi,"(x^2 - 4*x) / (sin(x) - x^3)","(x^24x)/(sin(xx^3asx))"
limit-of-tanx-sinx-over-x-as-x-to-pi,"(tan(x) * sin(x)) / x","tan(xsinx)/xasx"
